 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Causas evitáveis - 0 a 4 anos
Período:1997
"Município";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"250110 AREIA";-;1;-;-;1;1;10;1;14
"250115 AREIA DE BARAUNAS";-;-;-;-;-;-;-;-;-
"250120 AREIAL";-;1;-;-;-;-;-;-;1
"250130 AROEIRAS";-;-;-;-;-;-;2;-;2
"250135 ASSUNCAO";-;-;-;-;-;-;-;-;-
"250140 BAIA DA TRAICAO";-;-;-;-;-;-;-;-;-
"250150 BANANEIRAS";-;1;-;-;-;-;9;-;10
"250153 BARAUNA";-;-;-;-;-;-;1;-;1
"250157 BARRA DE SANTANA";-;-;-;-;-;-;-;-;-
"250160 BARRA DE SANTA ROSA";-;-;-;1;1;1;10;-;13
"250170 BARRA DE SAO MIGUEL";-;-;-;2;-;-;3;-;5
"250180 BAYEUX";1;6;1;2;2;3;5;5;25
"250190 BELEM";-;-;-;-;-;-;1;-;1
"250200 BELEM DO BREJO DO CRUZ";-;-;-;2;-;-;-;-;2
"250205 BERNARDINO BATISTA";-;-;-;-;-;-;-;-;-
"250210 BOA VENTURA";-;-;-;-;-;-;-;-;-
"250215 BOA VISTA";-;1;1;1;-;-;1;-;4
"250220 BOM JESUS";-;-;-;-;-;-;-;-;-
"250230 BOM SUCESSO";-;-;-;-;-;-;-;2;2
"250240 BONITO DE SANTA FE";-;-;-;-;-;-;1;-;1
"250250 BOQUEIRAO";-;1;2;2;1;1;3;-;10
"250260 IGARACY";-;-;-;-;-;1;4;-;5
"250270 BORBOREMA";-;-;-;-;-;-;2;-;2
"250280 BREJO DO CRUZ";-;-;-;3;1;-;-;-;4
"250290 BREJO DOS SANTOS";-;1;-;-;-;-;-;-;1
"250300 CAAPORA";-;1;-;2;1;1;10;2;17
"250310 CABACEIRAS";-;-;-;1;-;-;1;-;2
"250320 CABEDELO";-;3;-;-;-;1;2;2;8
"250330 CACHOEIRA DOS INDIOS";-;-;-;-;-;-;6;-;6
"250340 CACIMBA DE AREIA";-;-;-;-;-;-;-;-;-
"250350 CACIMBA DE DENTRO";-;-;-;-;-;-;-;-;-
"250355 CACIMBAS";-;-;2;-;-;-;1;-;3
"250360 CAICARA";-;-;-;2;-;2;4;-;8
"250370 CAJAZEIRAS";-;8;5;5;3;4;10;2;37
"250375 CAJAZEIRINHAS";-;-;-;-;-;-;-;-;-
"250380 CALDAS BRANDAO";-;-;-;-;-;-;-;1;1
"250390 CAMALAU";-;-;-;-;-;-;2;-;2
"250400 CAMPINA GRANDE";1;47;23;63;22;14;31;23;224
"250403 CAPIM";-;-;-;-;-;1;-;-;1
"250407 CARAUBAS";-;-;-;-;-;-;-;-;-
"250410 CARRAPATEIRA";-;-;-;-;-;-;-;-;-
"250415 CASSERENGUE";-;1;-;-;-;-;10;-;11
"250420 CATINGUEIRA";-;-;-;-;-;-;-;-;-
"250430 CATOLE DO ROCHA";-;2;-;-;1;-;3;2;8
"250435 CATURITE";-;-;-;1;-;-;1;-;2
"250440 CONCEICAO";-;2;-;-;-;2;2;3;9
"250450 CONDADO";-;-;-;-;-;-;-;-;-
"250460 CONDE";-;-;1;2;-;-;1;-;4
"250470 CONGO";-;1;-;-;-;-;-;-;1
"250480 COREMAS";-;3;-;3;3;-;7;2;18
"250485 COXIXOLA";-;-;-;-;-;-;-;-;-
"250490 CRUZ DO ESPIRITO SANTO";-;-;-;-;-;-;5;-;5
"250500 CUBATI";-;-;-;-;-;-;-;-;-
"250510 CUITE";-;2;1;1;3;2;13;1;23
"250520 CUITEGI";-;-;-;1;-;-;2;-;3
"250523 CUITE DE MAMANGUAPE";-;-;-;-;-;-;-;-;-
"250527 CURRAL DE CIMA";-;-;-;-;-;-;2;-;2
"250530 CURRAL VELHO";-;-;-;-;-;-;1;-;1
"250535 DAMIAO";-;-;-;-;-;-;-;-;-
"250540 DESTERRO";-;-;-;-;-;1;-;-;1
"250550 VISTA SERRANA";-;-;-;-;-;-;-;-;-
"250560 DIAMANTE";-;-;-;-;-;2;-;-;2
"250570 DONA INES";-;-;-;1;2;-;3;-;6
"250580 DUAS ESTRADAS";-;2;1;-;1;-;1;1;6
"250590 EMAS";-;-;-;-;-;-;-;-;-
"250600 ESPERANCA";-;2;3;2;2;1;9;-;19
"250610 FAGUNDES";-;-;-;-;-;-;-;1;1
"250620 FREI MARTINHO";-;-;-;-;-;-;-;-;-
"250625 GADO BRAVO";-;-;-;-;-;-;-;-;-
"250630 GUARABIRA";-;17;-;3;3;4;17;4;48
"250640 GURINHEM";-;-;-;-;-;-;-;-;-
"250650 GURJAO";-;1;-;1;-;-;-;-;2
"250660 IBIARA";-;-;-;-;1;-;1;-;2
"250670 IMACULADA";-;-;-;-;-;-;10;1;11
"250680 INGA";-;1;-;-;-;1;-;-;2
"250690 ITABAIANA";-;3;1;-;-;1;12;1;18
"250700 ITAPORANGA";-;-;-;-;-;-;-;-;-
"250710 ITAPOROROCA";-;-;-;-;1;-;4;-;5
"250720 ITATUBA";-;3;-;1;-;-;7;1;12
"250730 JACARAU";-;-;-;-;-;1;1;-;2
"250740 JERICO";-;1;-;-;-;-;10;3;14
"250750 JOAO PESSOA";1;38;19;33;21;11;19;31;173
"250760 JUAREZ TAVORA";-;-;-;-;-;-;1;-;1
"250770 JUAZEIRINHO";-;1;1;-;-;-;1;-;3
"250780 JUNCO DO SERIDO";-;-;-;-;-;-;-;-;-
"250790 JURIPIRANGA";-;-;-;-;-;1;17;-;18
"250800 JURU";-;-;2;-;-;4;9;1;16
"250810 LAGOA";-;-;-;-;-;-;1;-;1
"250820 LAGOA DE DENTRO";-;-;-;-;1;-;2;-;3
"250830 LAGOA SECA";-;2;-;1;-;-;4;-;7
"250840 LASTRO";-;-;-;-;-;-;2;-;2
"250850 LIVRAMENTO";-;-;-;-;-;-;1;-;1
"250855 LOGRADOURO";-;-;-;-;-;-;1;1;2
"250860 LUCENA";-;-;-;-;-;-;3;-;3
"250870 MAE D'AGUA";-;-;-;-;-;-;-;-;-
"250880 MALTA";-;-;-;-;-;-;-;-;-
"250890 MAMANGUAPE";-;2;-;1;1;3;24;1;32
"250900 MANAIRA";-;1;-;-;-;2;1;-;4
"250905 MARCACAO";-;-;-;-;-;-;2;-;2
"250910 MARI";-;1;-;-;-;-;16;-;17
"250915 MARIZOPOLIS";-;-;-;-;-;-;1;-;1
"250920 MASSARANDUBA";-;-;-;-;-;-;-;-;-
"250930 MATARACA";-;2;-;-;-;-;5;-;7
"250933 MATINHAS";-;-;-;-;-;-;-;-;-
"250937 MATO GROSSO";-;-;-;-;-;-;-;1;1
"250939 MATUREIA";-;-;-;-;-;-;-;-;-
"250940 MOGEIRO";-;-;-;-;-;-;8;-;8
"250950 MONTADAS";-;-;-;-;-;-;2;-;2
"250960 MONTE HOREBE";-;-;-;-;-;1;-;-;1
"250970 MONTEIRO";-;12;-;4;1;3;10;16;46
"250980 MULUNGU";-;-;-;-;-;2;11;-;13
"250990 NATUBA";-;2;1;-;-;-;2;-;5
"251000 NAZAREZINHO";-;-;-;-;-;-;3;-;3
"251010 NOVA FLORESTA";-;-;-;1;1;-;12;1;15
"251020 NOVA OLINDA";-;1;-;1;-;-;5;-;7
"251030 NOVA PALMEIRA";-;-;-;-;-;-;1;-;1
"251040 OLHO D'AGUA";-;-;-;-;-;-;-;-;-
"251050 OLIVEDOS";-;-;-;-;-;-;2;-;2
"251060 OURO VELHO";-;-;-;-;-;-;-;-;-
"251065 PARARI";-;-;-;-;-;-;-;-;-
"251070 PASSAGEM";-;-;-;-;-;-;-;-;-
"251080 PATOS";-;2;-;2;-;2;10;1;17
"251090 PAULISTA";-;1;-;-;-;-;-;-;1
"251100 PEDRA BRANCA";-;-;-;-;-;-;1;-;1
"251110 PEDRA LAVRADA";-;-;-;-;-;-;1;-;1
"251120 PEDRAS DE FOGO";-;2;1;2;1;3;10;3;22
"251130 PIANCO";-;-;-;-;-;1;1;-;2
"251140 PICUI";-;2;1;4;2;-;7;3;19
"251150 PILAR";-;-;-;-;1;-;8;1;10
"251160 PILOES";-;-;-;-;2;-;2;-;4
"251170 PILOEZINHOS";-;-;-;-;-;-;4;-;4
"251180 PIRPIRITUBA";-;-;-;-;-;-;-;-;-
"251190 PITIMBU";-;-;-;-;-;1;4;1;6
"251200 POCINHOS";-;1;-;1;-;1;1;-;4
"251203 POCO DANTAS";-;-;-;-;-;-;-;-;-
"251207 POCO DE JOSE DE MOURA";-;1;-;-;-;-;-;-;1
"251210 POMBAL";-;4;-;1;-;-;3;-;8
"251220 PRATA";-;-;-;-;-;-;1;-;1
"251230 PRINCESA ISABEL";-;-;2;3;-;2;12;-;19
"251240 PUXINANA";-;-;-;1;-;-;1;-;2
"251250 QUEIMADAS";-;-;-;-;-;1;3;-;4
"251260 QUIXABA";-;-;-;-;-;-;-;-;-
"251270 REMIGIO";-;2;-;1;1;2;6;-;12
"251272 PEDRO REGIS";-;-;-;-;-;-;-;-;-
"251274 RIACHAO";-;-;-;-;-;-;-;-;-
"251275 RIACHAO DO BACAMARTE";-;-;-;-;-;-;2;-;2
"251276 RIACHAO DO POCO";-;-;-;-;-;-;-;-;-
"251278 RIACHO DE SANTO ANTONIO";-;-;-;-;-;-;-;-;-
"251280 RIACHO DOS CAVALOS";-;-;-;-;-;-;-;-;-
"251290 RIO TINTO";-;1;-;1;-;-;7;-;9
"251300 SALGADINHO";-;-;-;-;-;-;-;-;-
"251310 SALGADO DE SAO FELIX";-;-;-;-;2;-;5;-;7
"251315 SANTA CECILIA";-;-;-;-;-;-;-;-;-
"251320 SANTA CRUZ";-;-;-;-;-;-;-;-;-
"251330 SANTA HELENA";-;1;-;-;-;-;1;1;3
"251335 SANTA INES";-;-;-;-;-;-;-;-;-
"251340 SANTA LUZIA";-;-;-;1;-;-;1;-;2
"251350 SANTANA DE MANGUEIRA";-;-;-;-;-;-;2;-;2
"251360 SANTANA DOS GARROTES";-;-;-;-;-;-;2;-;2
"251365 JOCA CLAUDINO";-;-;-;-;-;-;-;-;-
"251370 SANTA RITA";1;16;2;5;5;13;47;8;97
"251380 SANTA TERESINHA";-;-;-;-;1;1;1;1;4
"251385 SANTO ANDRE";-;-;-;-;-;-;-;-;-
"251390 SAO BENTO";-;-;1;-;-;1;3;4;9
"251392 SAO BENTINHO";-;-;-;-;-;-;3;-;3
"251394 SAO DOMINGOS DO CARIRI";-;-;-;-;-;-;-;-;-
"251396 SAO DOMINGOS";-;-;-;-;-;-;-;-;-
"251398 SAO FRANCISCO";-;-;-;-;-;-;-;-;-
"251400 SAO JOAO DO CARIRI";-;-;-;-;-;-;5;-;5
"251410 SAO JOAO DO TIGRE";-;-;-;-;-;-;3;1;4
"251420 SAO JOSE DA LAGOA TAPADA";-;-;-;-;-;-;-;-;-
"251430 SAO JOSE DE CAIANA";-;-;-;-;1;-;-;-;1
"251440 SAO JOSE DE ESPINHARAS";-;-;-;-;-;-;-;-;-
"251445 SAO JOSE DOS RAMOS";-;-;-;-;-;-;3;-;3
"251450 SAO JOSE DE PIRANHAS";-;-;-;-;1;1;10;3;15
"251455 SAO JOSE DE PRINCESA";-;-;-;-;-;-;-;-;-
"251460 SAO JOSE DO BONFIM";-;-;-;-;-;-;-;-;-
"251465 SAO JOSE DO BREJO DO CRUZ";-;-;-;-;-;-;-;-;-
"251470 SAO JOSE DO SABUGI";-;-;-;-;-;-;-;-;-
"251480 SAO JOSE DOS CORDEIROS";-;-;-;-;-;-;-;-;-
"251490 SAO MAMEDE";-;-;-;-;-;-;3;1;4
"251500 SAO MIGUEL DE TAIPU";-;-;-;-;-;-;3;-;3
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";-;-;-;-;-;-;-;-;-
"251520 SAO SEBASTIAO DO UMBUZEIRO";-;-;-;-;-;1;-;-;1
"251530 SAPE";-;-;-;1;-;-;-;1;2
"251540 SAO VICENTE DO SERIDO";-;-;1;-;-;-;12;-;13
"251550 SERRA BRANCA";-;1;-;-;-;-;-;-;1
"251560 SERRA DA RAIZ";-;1;-;-;1;1;2;-;5
"251570 SERRA GRANDE";-;-;-;-;-;-;-;-;-
"251580 SERRA REDONDA";-;-;-;-;-;-;2;-;2
"251590 SERRARIA";-;2;-;1;-;1;4;1;9
"251593 SERTAOZINHO";-;1;-;1;-;1;2;-;5
"251597 SOBRADO";-;-;-;-;-;-;-;-;-
"251600 SOLANEA";-;1;-;-;1;-;9;1;12
"251610 SOLEDADE";-;-;-;-;1;-;-;-;1
"251615 SOSSEGO";-;-;-;-;-;1;1;-;2
"251620 SOUSA";-;2;1;1;2;3;2;1;12
"251630 SUME";-;2;1;-;-;1;4;-;8
"251640 TACIMA";-;-;-;-;1;-;3;-;4
"251650 TAPEROA";-;-;-;-;2;1;6;2;11
"251660 TAVARES";-;-;-;1;1;-;18;-;20
"251670 TEIXEIRA";-;-;-;-;-;1;-;1;2
"251675 TENORIO";-;-;-;-;-;-;1;-;1
"251680 TRIUNFO";-;-;-;-;-;-;11;-;11
"251690 UIRAUNA";-;1;-;-;-;-;-;-;1
"251700 UMBUZEIRO";-;-;1;-;2;1;1;1;6
"251710 VARZEA";-;1;-;-;-;-;-;-;1
"251720 VIEIROPOLIS";-;-;-;-;-;-;-;-;-
"251740 ZABELE";-;-;-;-;-;-;-;-;-
" MUNICIPIO IGNORADO - PE";-;9;5;8;2;9;3;3;39
"260005 ABREU E LIMA";-;6;4;8;-;5;-;4;27
"260010 AFOGADOS DA INGAZEIRA";-;1;1;4;2;2;7;2;19
"260020 AFRANIO";-;-;-;-;-;-;1;-;1
"260030 AGRESTINA";1;2;3;2;1;5;18;2;34
"260040 AGUA PRETA";-;9;3;-;5;3;24;2;46
"260050 AGUAS BELAS";-;2;-;-;-;1;16;1;20
"260060 ALAGOINHA";-;-;4;-;1;2;5;1;13
"260070 ALIANCA";-;3;2;3;4;9;1;13;35
"260080 ALTINHO";-;2;2;1;3;5;6;4;23
"260090 AMARAJI";-;2;2;-;2;8;12;2;28
"260100 ANGELIM";-;-;-;-;1;-;13;1;15
"260105 ARACOIABA";-;1;2;1;-;5;-;1;10
"260110 ARARIPINA";-;-;-;-;-;-;-;1;1
"260120 ARCOVERDE";-;4;3;9;1;4;22;4;47
"260130 BARRA DE GUABIRABA";-;3;-;-;-;1;4;-;8
"260140 BARREIROS";-;9;2;6;3;2;26;1;49
"260150 BELEM DE MARIA";-;-;1;1;-;5;4;1;12
"260160 BELEM DE SAO FRANCISCO";-;2;1;3;-;-;-;-;6
"260170 BELO JARDIM";-;9;1;15;11;45;19;11;111
"260180 BETANIA";-;1;-;-;-;-;-;1;2
"260190 BEZERROS";-;6;2;9;2;11;1;28;59
"260200 BODOCO";-;1;2;1;2;2;11;2;21
"260210 BOM CONSELHO";-;3;1;1;3;5;16;1;30
"260220 BOM JARDIM";-;-;2;1;1;2;10;4;20
"260230 BONITO";-;3;1;3;1;3;32;2;45
"260240 BREJAO";-;-;-;1;2;1;17;-;21
"260250 BREJINHO";-;2;-;-;1;-;-;1;4
"260260 BREJO DA MADRE DE DEUS";-;11;1;11;5;4;14;5;51
"260270 BUENOS AIRES";-;-;1;2;-;-;2;1;6
"260280 BUIQUE";-;3;1;2;1;4;20;3;34
"260290 CABO DE SANTO AGOSTINHO";-;27;11;17;16;22;3;16;112
"260300 CABROBO";-;-;1;3;3;1;2;-;10
"260310 CACHOEIRINHA";-;6;2;-;-;-;-;3;11
"260320 CAETES";-;1;1;1;-;1;12;2;18
"260330 CALCADO";-;1;-;-;3;-;2;-;6
"260340 CALUMBI";-;-;-;1;-;1;-;2;4
"260345 CAMARAGIBE";-;13;9;12;5;4;-;11;54
"260350 CAMOCIM DE SAO FELIX";-;2;-;2;4;7;4;1;20
"260360 CAMUTANGA";-;3;-;1;-;-;4;-;8
"260370 CANHOTINHO";-;5;2;2;1;5;19;2;36
"260380 CAPOEIRAS";-;-;-;-;1;2;12;1;16
"260390 CARNAIBA";-;2;-;2;-;2;2;-;8
"260392 CARNAUBEIRA DA PENHA";-;-;-;-;-;-;-;-;-
"260400 CARPINA";-;5;1;2;6;6;1;5;26
"260410 CARUARU";-;41;21;36;17;35;11;52;213
"260415 CASINHAS";-;-;-;2;1;3;-;3;9
"260420 CATENDE";-;2;5;1;4;4;26;2;44
"260430 CEDRO";-;2;2;-;-;1;-;-;5
"260440 CHA DE ALEGRIA";-;2;1;3;1;2;3;4;16
"260450 CHA GRANDE";-;1;1;3;2;2;5;5;19
"260460 CONDADO";-;5;1;-;1;5;7;1;20
"260470 CORRENTES";-;-;1;-;3;4;18;1;27
"260480 CORTES";-;6;-;4;3;3;19;1;36
"260490 CUMARU";-;1;-;2;1;-;6;1;11
"260500 CUPIRA";-;5;-;1;4;6;1;8;25
"260510 CUSTODIA";-;1;1;3;1;-;3;1;10
"260515 DORMENTES";-;-;2;-;-;-;1;1;4
"260520 ESCADA";-;13;5;12;5;8;17;7;67
"260530 EXU";-;2;1;4;2;4;2;1;16
"260540 FEIRA NOVA";-;1;2;3;2;5;-;11;24
"260545 FERNANDO DE NORONHA";-;-;-;-;-;-;-;1;1
"260550 FERREIROS";-;2;-;1;2;-;4;-;9
"260560 FLORES";-;-;-;-;1;-;3;2;6
"260570 FLORESTA";-;-;-;-;2;3;1;-;6
"260580 FREI MIGUELINHO";-;1;1;1;-;-;-;1;4
"260590 GAMELEIRA";-;5;4;1;5;5;3;5;28
"260600 GARANHUNS";-;17;4;18;12;20;51;9;131
"260610 GLORIA DO GOITA";-;-;-;1;-;3;1;3;8
"260620 GOIANA";1;9;1;8;7;3;11;3;43
"260630 GRANITO";-;-;-;-;-;-;-;1;1
"260640 GRAVATA";-;11;1;3;2;6;6;23;52
"260650 IATI";-;1;-;1;-;-;4;-;6
"260660 IBIMIRIM";-;1;-;7;2;-;18;-;28
"260670 IBIRAJUBA";-;1;-;-;-;1;1;2;5
"260680 IGARASSU";-;13;3;10;3;7;-;4;40
"260690 IGUARACY";-;2;-;2;-;1;1;1;7
"260700 INAJA";-;1;-;-;-;-;8;-;9
"260710 INGAZEIRA";-;-;1;-;-;-;-;-;1
"260720 IPOJUCA";-;9;4;8;2;11;28;6;68
"260730 IPUBI";-;-;-;1;-;2;30;-;33
"260740 ITACURUBA";-;-;-;-;-;-;-;-;-
"260750 ITAIBA";-;-;-;1;1;-;-;-;2
"260760 ILHA DE ITAMARACA";-;2;-;3;1;3;-;-;9
"260765 ITAMBE";-;5;2;2;1;4;4;12;30
"260770 ITAPETIM";-;1;-;2;-;-;-;1;4
"260775 ITAPISSUMA";-;5;-;3;2;6;-;-;16
"260780 ITAQUITINGA";1;-;1;-;2;-;3;2;9
"260790 JABOATAO DOS GUARARAPES";-;53;42;58;22;32;1;43;251
"260795 JAQUEIRA";-;-;1;1;1;7;10;1;21
"260800 JATAUBA";-;-;-;1;1;1;9;3;15
"260805 JATOBA";-;-;1;-;-;-;3;-;4
"260810 JOAO ALFREDO";-;1;-;2;1;4;20;2;30
"260820 JOAQUIM NABUCO";-;1;-;2;1;4;26;1;35
"260825 JUCATI";-;-;-;1;1;2;15;-;19
"260830 JUPI";-;4;-;5;-;2;17;1;29
"260840 JUREMA";-;2;-;2;1;2;2;16;25
"260845 LAGOA DO CARRO";-;3;-;2;-;3;3;2;13
"260850 LAGOA DE ITAENGA";-;3;-;-;2;4;1;4;14
"260860 LAGOA DO OURO";-;-;-;-;-;-;10;-;10
"260870 LAGOA DOS GATOS";-;1;1;1;-;4;2;2;11
"260875 LAGOA GRANDE";-;-;-;2;-;1;-;-;3
"260880 LAJEDO";-;1;4;5;1;1;24;2;38
"260890 LIMOEIRO";-;14;3;5;4;8;-;12;46
"260900 MACAPARANA";-;5;3;5;1;4;21;5;44
"260910 MACHADOS";-;1;-;2;-;1;4;3;11
"260915 MANARI";-;-;-;-;1;-;-;-;1
"260920 MARAIAL";-;2;1;1;1;2;31;2;40
"260930 MIRANDIBA";-;1;1;1;3;-;1;1;8
"260940 MORENO";-;3;2;4;1;3;2;5;20
"260950 NAZARE DA MATA";-;4;-;1;2;4;1;2;14
"260960 OLINDA";-;50;31;40;16;14;1;30;182
"260970 OROBO";-;-;-;-;1;2;3;2;8
"260980 OROCO";-;-;-;1;-;1;8;-;10
"260990 OURICURI";-;-;-;3;-;2;29;-;34
"261000 PALMARES";-;9;7;6;12;10;23;7;74
"261010 PALMEIRINA";-;1;-;-;-;5;6;-;12
"261020 PANELAS";-;14;-;3;2;4;20;6;49
"261030 PARANATAMA";-;1;2;1;-;4;2;-;10
"261040 PARNAMIRIM";-;-;2;-;1;-;2;-;5
"261050 PASSIRA";-;6;2;7;5;6;-;4;30
"261060 PAUDALHO";-;4;-;10;6;9;-;9;38
"261070 PAULISTA";-;29;14;27;6;7;-;25;108
"261080 PEDRA";-;-;1;1;-;-;8;-;10
"261090 PESQUEIRA";-;7;7;11;5;11;27;11;79
"261100 PETROLANDIA";-;-;2;-;1;2;4;5;14
"261110 PETROLINA";-;12;2;11;7;5;20;9;66
"261120 POCAO";-;2;2;3;-;1;1;24;33
"261130 POMBOS";-;1;-;-;1;3;-;1;6
"261140 PRIMAVERA";-;1;-;3;-;1;3;4;12
"261150 QUIPAPA";-;2;3;4;2;1;12;2;26
"261153 QUIXABA";-;-;-;1;-;1;2;-;4
"261160 RECIFE";2;198;84;150;62;59;5;131;691
"261170 RIACHO DAS ALMAS";-;-;2;1;-;1;4;4;12
"261180 RIBEIRAO";-;6;3;8;1;6;19;6;49
"261190 RIO FORMOSO";2;5;-;2;2;3;1;7;22
"261200 SAIRE";-;1;2;2;1;4;-;1;11
"261210 SALGADINHO";-;1;-;-;-;-;-;-;1
"261220 SALGUEIRO";-;5;4;10;4;4;2;9;38
"261230 SALOA";-;2;-;1;3;1;25;1;33
"261240 SANHARO";-;1;-;1;3;1;7;-;13
"261245 SANTA CRUZ";-;-;-;-;-;-;5;-;5
"261247 SANTA CRUZ DA BAIXA VERDE";-;-;-;2;-;1;5;3;11
"261250 SANTA CRUZ DO CAPIBARIBE";-;7;1;8;2;5;5;11;39
"261255 SANTA FILOMENA";-;-;-;-;-;-;1;-;1
"261260 SANTA MARIA DA BOA VISTA";-;-;-;-;-;-;3;-;3
"261270 SANTA MARIA DO CAMBUCA";-;-;-;-;1;-;5;4;10
"261280 SANTA TEREZINHA";-;1;-;2;-;1;10;-;14
"261290 SAO BENEDITO DO SUL";-;1;2;-;1;7;12;2;25
"261300 SAO BENTO DO UNA";-;10;1;6;4;9;22;5;57
"261310 SAO CAITANO";-;10;-;3;2;5;10;11;41
"261320 SAO JOAO";-;1;1;3;3;3;24;1;36
"261330 SAO JOAQUIM DO MONTE";-;4;-;1;5;4;4;6;24
"261340 SAO JOSE DA COROA GRANDE";-;1;-;2;-;-;12;-;15
"261350 SAO JOSE DO BELMONTE";-;1;-;2;3;-;-;1;7
"261360 SAO JOSE DO EGITO";-;3;-;4;-;8;1;3;19
"261370 SAO LOURENCO DA MATA";-;11;7;8;4;14;1;4;49
"261380 SAO VICENTE FERRER";-;1;-;-;1;-;2;1;5
"261390 SERRA TALHADA";-;12;5;12;11;13;-;11;64
"261400 SERRITA";-;-;-;-;1;1;-;-;2
"261410 SERTANIA";-;1;1;4;-;3;5;2;16
"261420 SIRINHAEM";-;6;-;3;-;3;1;1;14
"261430 MOREILANDIA";-;-;-;-;-;-;1;-;1
"261440 SOLIDAO";-;-;1;2;-;1;-;1;5
"261450 SURUBIM";-;8;1;8;1;4;-;2;24
"261460 TABIRA";-;2;2;2;1;8;2;2;19
"261470 TACAIMBO";-;2;1;1;1;1;11;-;17
"261480 TACARATU";-;-;-;-;-;-;1;-;1
"261485 TAMANDARE";-;2;-;-;1;2;-;3;8
"261500 TAQUARITINGA DO NORTE";-;6;1;3;1;-;1;4;16
"261510 TEREZINHA";-;-;-;-;1;-;-;-;1
"261520 TERRA NOVA";-;-;-;1;-;1;-;2;4
"261530 TIMBAUBA";-;3;2;4;2;22;17;6;56
"261540 TORITAMA";-;3;-;3;-;5;-;3;14
"261550 TRACUNHAEM";-;-;3;1;-;4;-;3;11
"261560 TRINDADE";-;-;1;1;-;-;12;-;14
"261570 TRIUNFO";-;-;-;5;1;-;-;2;8
"261580 TUPANATINGA";-;-;-;-;-;-;1;2;3
"261590 TUPARETAMA";-;1;-;1;1;2;5;1;11
"261600 VENTUROSA";-;-;-;2;-;2;6;1;11
"261610 VERDEJANTE";-;2;-;1;1;-;1;-;5
"261618 VERTENTE DO LERIO";-;-;1;-;-;1;2;-;4
"261620 VERTENTES";-;1;-;2;-;1;1;1;6
"261630 VICENCIA";-;3;1;5;1;5;2;6;23
"261640 VITORIA DE SANTO ANTAO";-;18;5;9;2;8;1;17;60
"261650 XEXEU";-;-;1;2;2;6;27;1;39
" MUNICIPIO IGNORADO - AL";-;-;-;1;-;1;-;1;3
"270010 AGUA BRANCA";-;1;-;-;-;5;1;1;8
"270020 ANADIA";-;4;1;4;6;12;1;1;29
"270030 ARAPIRACA";-;14;9;37;14;23;71;14;182
"270040 ATALAIA";-;1;1;-;-;1;5;-;8
"270050 BARRA DE SANTO ANTONIO";-;1;2;4;1;1;12;1;22
"270060 BARRA DE SAO MIGUEL";-;-;-;-;-;-;3;-;3
"270070 BATALHA";-;2;4;7;4;6;6;2;31
"270080 BELEM";-;-;-;-;-;-;-;-;-
"270090 BELO MONTE";-;-;-;-;-;-;-;-;-
"270100 BOCA DA MATA";-;-;-;1;-;2;10;-;13
"270110 BRANQUINHA";-;-;-;-;-;-;18;-;18
"270120 CACIMBINHAS";-;-;-;-;-;-;1;-;1
"270130 CAJUEIRO";-;1;1;3;2;6;46;2;61
"270135 CAMPESTRE";-;-;-;3;-;-;10;-;13
"270140 CAMPO ALEGRE";-;-;-;4;1;5;13;-;23
"270150 CAMPO GRANDE";-;-;1;-;-;-;-;-;1
"270160 CANAPI";-;-;-;-;1;3;-;-;4
"270170 CAPELA";-;-;-;-;-;1;9;2;12
"270180 CARNEIROS";-;-;-;1;-;-;13;-;14
"270190 CHA PRETA";-;-;-;1;-;-;9;-;10
"270200 COITE DO NOIA";-;-;-;1;1;-;-;-;2
"270210 COLONIA LEOPOLDINA";-;5;-;2;1;4;7;-;19
"270220 COQUEIRO SECO";-;-;-;-;-;-;-;-;-
"270230 CORURIPE";-;10;7;24;8;25;14;3;91
"270235 CRAIBAS";-;-;-;1;-;1;9;-;11
"270240 DELMIRO GOUVEIA";-;1;1;-;3;6;23;-;34
"270250 DOIS RIACHOS";-;-;-;-;-;-;-;-;-
"270255 ESTRELA DE ALAGOAS";-;-;-;-;-;-;-;-;-
"270260 FEIRA GRANDE";-;-;-;1;1;1;-;1;4
"270270 FELIZ DESERTO";-;1;-;2;-;-;1;-;4
"270280 FLEXEIRAS";-;-;-;-;2;2;6;-;10
"270290 GIRAU DO PONCIANO";-;1;-;1;-;4;-;2;8
"270300 IBATEGUARA";-;2;-;-;-;-;3;-;5
"270310 IGACI";-;-;-;-;1;-;4;-;5
"270320 IGREJA NOVA";-;-;-;1;-;-;3;-;4
"270330 INHAPI";-;-;-;-;-;1;-;-;1
"270340 JACARE DOS HOMENS";-;-;-;-;-;-;-;-;-
"270350 JACUIPE";-;-;1;1;-;-;7;-;9
"270360 JAPARATINGA";-;-;-;-;-;-;3;-;3
"270370 JARAMATAIA";-;-;-;-;-;-;1;-;1
"270375 JEQUIA DA PRAIA";-;-;-;-;-;-;-;-;-
